starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 21 06:45:33 2018	1532126733	60	2309	2368	62
Sat Jul 21 06:45:57 2018	1532126757	64	2548	2611	139
Sat Jul 21 06:45:51 2018	1532126751	75	2541	2616	64
Sat Jul 21 06:46:05 2018	1532126765	71	2710	2781	137
Sat Jul 21 06:46:04 2018	1532126764	176	2687	2863	547
Sat Jul 21 06:45:35 2018	1532126735	87	2803	2890	83
Sat Jul 21 06:46:00 2018	1532126760	60	2997	3057	117
Sat Jul 21 06:45:29 2018	1532126729	61	3208	3269	89
Sat Jul 21 06:45:24 2018	1532126724	169	3155	3324	96
Sat Jul 21 06:45:27 2018	1532126727	61	3301	3361	59
Sat Jul 21 06:45:24 2018	1532126724	183	3216	3399	183
Sat Jul 21 06:46:14 2018	1532126774	59	3412	3471	139
Sat Jul 21 06:46:11 2018	1532126771	57	3537	3594	51
Sat Jul 21 06:46:20 2018	1532126780	60	3572	3632	355
Sat Jul 21 06:45:51 2018	1532126751	303	3401	3704	170
Sat Jul 21 06:46:12 2018	1532126772	58	3678	3735	176
Sat Jul 21 06:45:55 2018	1532126755	55	3712	3767	61
Sat Jul 21 06:45:47 2018	1532126747	58	3731	3790	381
Sat Jul 21 06:45:45 2018	1532126745	61	3786	3847	52
Sat Jul 21 06:46:07 2018	1532126767	62	3786	3848	50
Sat Jul 21 06:46:18 2018	1532126778	61	3838	3898	82
Sat Jul 21 06:45:39 2018	1532126739	303	3616	3919	172
Sat Jul 21 06:45:24 2018	1532126724	171	3777	3949	117
Sat Jul 21 06:45:54 2018	1532126754	62	3916	3977	53
Sat Jul 21 06:45:48 2018	1532126748	58	3999	4057	105
Sat Jul 21 06:45:41 2018	1532126741	58	4006	4064	49
Sat Jul 21 06:46:15 2018	1532126775	75	3999	4075	81
Sat Jul 21 06:45:41 2018	1532126741	60	4023	4084	66
Sat Jul 21 06:45:43 2018	1532126743	60	4210	4269	208
Sat Jul 21 06:45:37 2018	1532126737	310	3993	4303	195
Sat Jul 21 06:46:07 2018	1532126767	61	4290	4351	53
Sat Jul 21 06:46:14 2018	1532126774	60	4320	4381	66
Sat Jul 21 06:45:59 2018	1532126759	62	4333	4395	53
Sat Jul 21 06:45:42 2018	1532126742	64	4452	4516	51
Sat Jul 21 06:45:32 2018	1532126732	60	4494	4554	81
Sat Jul 21 06:45:37 2018	1532126737	315	4278	4593	192
Sat Jul 21 06:46:10 2018	1532126770	62	4584	4646	204
Sat Jul 21 06:45:24 2018	1532126724	170	4567	4736	119
Sat Jul 21 06:45:59 2018	1532126759	60	4800	4860	188
Sat Jul 21 06:46:09 2018	1532126769	62	4833	4896	51
Sat Jul 21 06:45:38 2018	1532126738	421	4729	5150	183
Sat Jul 21 06:45:28 2018	1532126728	59	5130	5189	334
Sat Jul 21 06:46:14 2018	1532126774	294	4909	5203	94
Sat Jul 21 06:46:19 2018	1532126779	60	5182	5242	438
Sat Jul 21 06:45:52 2018	1532126752	60	5225	5286	51
Sat Jul 21 06:46:04 2018	1532126764	327	4976	5302	160
Sat Jul 21 06:46:19 2018	1532126779	298	5018	5316	213
Sat Jul 21 06:45:33 2018	1532126733	62	5301	5363	55
Sat Jul 21 06:45:27 2018	1532126727	59	5322	5381	83
Sat Jul 21 06:45:45 2018	1532126745	63	5533	5596	107
Sat Jul 21 06:45:49 2018	1532126749	61	5714	5775	94
Sat Jul 21 06:45:31 2018	1532126731	65	5818	5884	181
Sat Jul 21 06:45:58 2018	1532126758	335	5806	6140	142
Sat Jul 21 06:45:53 2018	1532126753	58	6276	6334	50
Sat Jul 21 06:46:03 2018	1532126763	294	6956	7250	183
