starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 21 06:38:38 2018	1532126318	60	378	438	52
Sat Jul 21 06:38:13 2018	1532126293	63	428	491	55
Sat Jul 21 06:38:01 2018	1532126281	64	533	597	54
Sat Jul 21 06:38:14 2018	1532126294	104	675	780	53
Sat Jul 21 06:38:39 2018	1532126319	60	871	931	49
Sat Jul 21 06:38:41 2018	1532126321	59	996	1055	50
Sat Jul 21 06:38:29 2018	1532126309	60	995	1056	53
Sat Jul 21 06:38:19 2018	1532126299	62	996	1057	52
Sat Jul 21 06:38:45 2018	1532126325	59	999	1058	56
Sat Jul 21 06:38:06 2018	1532126286	59	1000	1059	54
Sat Jul 21 06:38:53 2018	1532126333	61	1000	1061	54
Sat Jul 21 06:38:33 2018	1532126313	59	1007	1066	51
Sat Jul 21 06:38:25 2018	1532126305	75	993	1068	51
Sat Jul 21 06:38:55 2018	1532126335	56	1015	1071	54
Sat Jul 21 06:38:15 2018	1532126295	61	1012	1072	51
Sat Jul 21 06:38:51 2018	1532126331	58	1015	1073	52
Sat Jul 21 06:38:07 2018	1532126287	62	1011	1073	54
Sat Jul 21 06:38:42 2018	1532126322	58	1015	1073	51
Sat Jul 21 06:38:57 2018	1532126337	60	1013	1074	51
Sat Jul 21 06:38:04 2018	1532126284	64	1010	1074	52
Sat Jul 21 06:38:22 2018	1532126302	71	1003	1074	52
Sat Jul 21 06:38:48 2018	1532126328	62	1012	1074	53
Sat Jul 21 06:38:16 2018	1532126296	60	1016	1076	55
Sat Jul 21 06:38:02 2018	1532126282	63	1013	1076	53
Sat Jul 21 06:38:31 2018	1532126311	61	1015	1076	53
Sat Jul 21 06:38:32 2018	1532126312	62	1015	1077	56
Sat Jul 21 06:38:27 2018	1532126307	56	1022	1078	48
Sat Jul 21 06:38:21 2018	1532126301	57	1021	1078	52
Sat Jul 21 06:38:23 2018	1532126303	61	1018	1079	57
Sat Jul 21 06:38:50 2018	1532126330	61	1019	1080	54
Sat Jul 21 06:38:17 2018	1532126297	61	1020	1081	54
Sat Jul 21 06:38:54 2018	1532126334	60	1023	1083	52
Sat Jul 21 06:38:58 2018	1532126338	63	1021	1083	53
Sat Jul 21 06:38:03 2018	1532126283	61	1022	1084	75
Sat Jul 21 06:38:47 2018	1532126327	63	1021	1084	55
Sat Jul 21 06:38:08 2018	1532126288	58	1026	1084	52
Sat Jul 21 06:38:46 2018	1532126326	63	1021	1084	56
Sat Jul 21 06:38:24 2018	1532126304	66	1021	1087	96
Sat Jul 21 06:38:20 2018	1532126300	60	1033	1093	53
Sat Jul 21 06:38:44 2018	1532126324	59	1035	1094	51
Sat Jul 21 06:38:43 2018	1532126323	60	1035	1095	53
Sat Jul 21 06:38:30 2018	1532126310	60	1035	1095	52
Sat Jul 21 06:38:56 2018	1532126336	56	1039	1095	51
Sat Jul 21 06:38:05 2018	1532126285	64	1035	1099	58
Sat Jul 21 06:38:18 2018	1532126298	60	1040	1100	51
Sat Jul 21 06:38:52 2018	1532126332	61	1041	1102	51
Sat Jul 21 06:38:40 2018	1532126320	62	1048	1111	54
Sat Jul 21 06:38:28 2018	1532126308	63	1050	1113	53
Sat Jul 21 06:38:00 2018	1532126280	221	983	1205	431
Sat Jul 21 06:38:59 2018	1532126339	72	1484	1556	51
Sat Jul 21 06:38:09 2018	1532126289	63	1634	1697	65
Sat Jul 21 06:38:37 2018	1532126317	180	1649	1828	156
Sat Jul 21 06:38:11 2018	1532126291	173	2279	2452	280
Sat Jul 21 06:38:34 2018	1532126314	61	2439	2500	52
