starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 21 06:41:54 2018	1532126514	81	949	1031	63
Sat Jul 21 06:41:58 2018	1532126518	290	794	1084	50
Sat Jul 21 06:42:07 2018	1532126527	62	1230	1292	53
Sat Jul 21 06:42:41 2018	1532126561	63	1274	1337	53
Sat Jul 21 06:42:48 2018	1532126568	62	1322	1384	56
Sat Jul 21 06:42:08 2018	1532126528	60	1370	1431	51
Sat Jul 21 06:42:39 2018	1532126559	59	1395	1454	50
Sat Jul 21 06:42:01 2018	1532126521	62	1456	1518	62
Sat Jul 21 06:41:58 2018	1532126518	78	1479	1557	51
Sat Jul 21 06:41:54 2018	1532126514	95	1464	1559	57
Sat Jul 21 06:42:16 2018	1532126536	62	1501	1563	55
Sat Jul 21 06:42:49 2018	1532126569	58	1532	1590	53
Sat Jul 21 06:42:17 2018	1532126537	61	1551	1612	56
Sat Jul 21 06:42:52 2018	1532126572	64	1577	1641	54
Sat Jul 21 06:42:31 2018	1532126551	62	1669	1731	56
Sat Jul 21 06:42:21 2018	1532126541	61	1674	1735	54
Sat Jul 21 06:42:14 2018	1532126534	76	1684	1760	124
Sat Jul 21 06:42:12 2018	1532126532	425	1383	1808	171
Sat Jul 21 06:42:23 2018	1532126543	62	1755	1817	53
Sat Jul 21 06:42:44 2018	1532126564	58	1814	1871	50
Sat Jul 21 06:42:29 2018	1532126549	59	1881	1940	166
Sat Jul 21 06:42:53 2018	1532126573	60	1893	1953	51
Sat Jul 21 06:42:19 2018	1532126539	63	1904	1968	90
Sat Jul 21 06:42:39 2018	1532126559	64	1938	2002	57
Sat Jul 21 06:42:24 2018	1532126544	61	1943	2004	50
Sat Jul 21 06:42:05 2018	1532126525	65	1970	2034	54
Sat Jul 21 06:42:11 2018	1532126531	180	1910	2090	173
Sat Jul 21 06:42:45 2018	1532126565	82	2010	2092	72
Sat Jul 21 06:42:26 2018	1532126546	57	2050	2107	50
Sat Jul 21 06:42:22 2018	1532126542	55	2059	2113	50
Sat Jul 21 06:42:13 2018	1532126533	68	2137	2205	59
Sat Jul 21 06:42:26 2018	1532126546	71	2143	2214	52
Sat Jul 21 06:42:42 2018	1532126562	64	2191	2255	53
Sat Jul 21 06:42:10 2018	1532126530	57	2214	2271	164
Sat Jul 21 06:42:33 2018	1532126553	59	2305	2364	48
Sat Jul 21 06:42:03 2018	1532126523	60	2324	2384	51
Sat Jul 21 06:42:02 2018	1532126522	62	2351	2414	160
Sat Jul 21 06:42:31 2018	1532126551	58	2388	2445	53
Sat Jul 21 06:42:29 2018	1532126549	66	2389	2455	50
Sat Jul 21 06:42:00 2018	1532126520	66	2395	2462	55
Sat Jul 21 06:41:59 2018	1532126519	64	2457	2521	54
Sat Jul 21 06:42:24 2018	1532126544	62	2500	2562	53
Sat Jul 21 06:42:43 2018	1532126563	63	2519	2582	54
Sat Jul 21 06:42:33 2018	1532126553	63	2538	2602	52
Sat Jul 21 06:42:49 2018	1532126569	57	2668	2724	75
Sat Jul 21 06:42:51 2018	1532126571	73	2694	2767	52
Sat Jul 21 06:42:40 2018	1532126560	61	2767	2828	52
Sat Jul 21 06:42:46 2018	1532126566	66	2789	2854	54
Sat Jul 21 06:42:05 2018	1532126525	59	2796	2855	56
Sat Jul 21 06:41:55 2018	1532126515	174	2746	2920	171
Sat Jul 21 06:42:19 2018	1532126539	65	2864	2929	57
Sat Jul 21 06:42:35 2018	1532126555	197	2883	3081	969
Sat Jul 21 06:41:55 2018	1532126515	206	2907	3113	200
Sat Jul 21 06:42:35 2018	1532126555	86	3135	3221	490
Sat Jul 21 06:42:08 2018	1532126528	62	3371	3433	64
Sat Jul 21 06:42:16 2018	1532126536	59	3383	3441	107
